TLID	FEDIRP	FENAME	FETYPE	FEDIRS	FRADDL	TOADDL	FRADDR	TOADDR	coords
184643071	N	Alamanas	St		7400.0	7498.0	7401.0	7499.0	[[24.824263000000016, 36.05852]]
184643073	N	Kiprou	St		1300.0	1498.0	1301.0	1499.0	[[24.82436300000002, 36.05662], [24.824263000000016, 36.05852]]
184643074	N	Alamanas	St		7300.0	7398.0	7301.0	7399.0	[[24.82566300000002, 36.05852], [24.824263000000016, 36.05852]]
184643075	N	Agiasou	St		7400.0	7498.0	7401.0	7499.0	[[24.82436300000002, 36.05662]]
184643077		Kiprou	St		1100.0	1298.0	1131.0	1299.0	[[24.82436300000002, 36.05482], [24.82436300000002, 36.05662]]
184643082	N	Achilleos	St		7300.0	7398.0	7301.0	7399.0	[[24.82566300000002, 36.05482], [24.82436300000002, 36.05482]]
184643091	N	Undeg	Dr		2490.0	2638.0	2415.0	2501.0	[[24.825463000000013, 36.06502], [24.826263000000026, 36.06622]]
184643092	N	Undeg	Dr		2640.0	2698.0	2503.0	2699.0	[[24.826263000000026, 36.06622], [24.826463000000018, 36.06672]]
184643093	N	Arkadou	St		7200.0	7298.0	6901.0	7299.0	[[24.82736300000002, 36.06672], [24.826463000000018, 36.06672]]
184643094									[[24.826263000000026, 36.06622], [24.826426000000012, 36.066278]]
184643095	N	Arbete	St		7200.0	7298.0	7201.0	7299.0	[[24.826163000000022, 36.06522], [24.825463000000013, 36.06502]]
184643096		Karaiskaki	St						[[24.82736300000002, 36.06672], [24.82734100000002, 36.066705]]
184643097		Karaiskaki	St		2599.0	2301.0	2598.0	2300.0	[[24.82734100000002, 36.066705], [24.82736300000002, 36.06352]]
184643099	N	Owena	Pl		2958.0	3014.0	2915.0	3023.0	[[24.82894400000002, 36.068391], [24.82830300000002, 36.069139]]
184643100	N	Gata	Ln		6999.0	6901.0	6998.0	6900.0	[[24.82894400000002, 36.068391], [24.828120000000013, 36.067819]]
184643101	N	Owena	Pl		2912.0	2956.0	2823.0	2913.0	[[24.829981000000018, 36.068162], [24.82894400000002, 36.068391]]
184643103	N	Gawenoliau	Dr		2500.0	2698.0	2401.0	2699.0	[[24.82826300000002, 36.06482], [24.82866300000002, 36.06592], [24.828863000000013, 36.06682]]
184643104	N	Arkadou	St		7000.0	7098.0	7001.0	7099.0	[[24.829263000000026, 36.066919999999996], [24.828863000000013, 36.06682]]
184643105		Ious	Cir	N	2600.0	2698.0	2601.0	2699.0	[[24.829263000000026, 36.06642], [24.829263000000026, 36.066919999999996]]
184643107	N	Oveja	Ln		6900.0	6998.0	6901.0	6999.0	[[24.829539000000025, 36.067727], [24.829981000000018, 36.068162]]
184643111	N	Narkissou	St		6500.0	6598.0	6501.0	6599.0	[[24.835363000000015, 36.07562], [24.834863000000013, 36.07552]]
184643112	N	Narkissou	St		6600.0	6698.0	6601.0	6699.0	[[24.834863000000013, 36.07552], [24.833463000000023, 36.07532]]
184643113	N	Owena	Pl		2800.0	2830.0	2601.0	2661.0	[[24.831063000000015, 36.06672], [24.83115600000002, 36.067231]]
184643114	N	Artakis	St		6700.0	6898.0	6701.0	6899.0	[[24.83321600000002, 36.067201], [24.83115600000002, 36.067231]]
184643119	N	Opalante	Dr		2800.0	2998.0	2801.0	2999.0	[[24.83632900000002, 36.067063], [24.836390000000023, 36.068826]]
184643121	N	Opalante	Dr						[[24.836253000000013, 36.066896], [24.83632900000002, 36.067063]]
184643125	N	Arkadiou	St		6499.0	6301.0	6498.0	6300.0	[[24.836253000000013, 36.066896], [24.839263000000017, 36.06602]]
184643127	N	Kiprou	St		2208.0	2398.0	2301.0	2399.0	[[24.824163000000013, 36.06352], [24.824663000000015, 36.06442]]
184643128	N	Undeg	Dr		2442.0	2488.0	2387.0	2413.0	[[24.825724000000022, 36.064645], [24.825463000000013, 36.06502]]
184643131	N	Kanari	Cir		2000.0	2098.0	2001.0	2099.0	[[24.825363000000024, 36.06262], [24.824963000000025, 36.06282]]
184643132	N	Karaiskaki	St		2000.0	2248.0	2001.0	2249.0	[[24.824063000000024, 36.06182], [24.825363000000024, 36.06262]]
184643133									[[24.825724000000022, 36.064645], [24.826044000000024, 36.064744]]
184643134	N	Anrop	St		7214.0	7306.0	7251.0	7299.0	[[24.82656300000002, 36.06362], [24.825963000000016, 36.06352]]
184643135	N	Karaiskaki	St		2250.0	2398.0	2251.0	2399.0	[[24.825363000000024, 36.06262], [24.82656300000002, 36.06362]]
184643136	N	Anrop	St		7200.0	7212.0	7201.0	7249.0	[[24.82736300000002, 36.06352], [24.82656300000002, 36.06362]]
184643137	N	Anrop	St		7100.0	7198.0	7151.0	7199.0	[[24.82776300000002, 36.06352], [24.82736300000002, 36.06352]]
184643138	N	Opalante	Dr		1700.0	2248.0	1701.0	2249.0	[[24.824163000000013, 36.06032], [24.827263000000016, 36.06292]]
184643139	N	Gawenoliau	Dr		1742.0	1782.0	1745.0	1775.0	[[24.82826300000002, 36.06162], [24.827263000000016, 36.06292]]
184643140		Lonn	St		1500.0	1698.0	1501.0	1699.0	[[24.82566300000002, 36.05852], [24.82566300000002, 36.06022]]
184643141		Korai	Cir		1300.0	1398.0	1301.0	1399.0	[[24.82696300000002, 36.05912], [24.826363000000015, 36.05962]]
184643142	N	Antoniadou	St		7050.0	7098.0	7051.0	7099.0	[[24.828863000000013, 36.06462], [24.82826300000002, 36.06482]]
184643143	N	Opalante	Dr		2300.0	2398.0	2301.0	2399.0	[[24.82776300000002, 36.06352], [24.828863000000013, 36.06462]]
184643144	N	Antoniadou	St		7000.0	7048.0	6913.0	7049.0	[[24.83036300000002, 36.06422], [24.828863000000013, 36.06462]]
184643145	N	Opalante	Dr		2250.0	2298.0	2251.0	2299.0	[[24.827263000000016, 36.06292], [24.82776300000002, 36.06352]]
184643146	N	Antoniadou	St		6900.0	6998.0	6901.0	6911.0	[[24.831163000000018, 36.06412], [24.83036300000002, 36.06422]]
184643147		Seranti	Dr		1702.0	2398.0	1801.0	2399.0	[[24.830063000000024, 36.06082], [24.829663000000025, 36.06322], [24.83036300000002, 36.06422]]
184643148	N	Lonn	St		1700.0	1798.0	1701.0	1799.0	[[24.82566300000002, 36.06022], [24.82826300000002, 36.06162]]
184643149	N	Gawenoliau	Dr		1700.0	1740.0	1701.0	1743.0	[[24.828363000000024, 36.06032], [24.82826300000002, 36.06162]]
184643150	N	Alfiou	St		7100.0	7298.0	7101.0	7299.0	[[24.828363000000024, 36.06032], [24.82566300000002, 36.06022]]
184643151		Gawenoliau	Dr		1600.0	1698.0	1601.0	1699.0	[[24.82826300000002, 36.05912], [24.828363000000024, 36.06032]]
184643152	N	Alfiou	St		7000.0	7098.0	7001.0	7099.0	[[24.830163000000013, 36.06032], [24.828363000000024, 36.06032]]
184643153		Kozanis			1364.0	1398.0	1365.0	1399.0	[[24.82696300000002, 36.05912], [24.82826300000002, 36.05912]]
184643154	N	Gawenoliau	Dr		1300.0	1598.0	1301.0	1343.0	[[24.827563000000026, 36.05702], [24.82826300000002, 36.05912]]
184643155		Korbana			1300.0	1398.0	1301.0	1399.0	[[24.828963000000016, 36.05742], [24.82826300000002, 36.05912]]
184643156	N	Alm	St		6900.0	6998.0	6901.0	6999.0	[[24.83076300000002, 36.06122], [24.830063000000024, 36.06082]]
184643157	N	Alm	St		6800.0	6898.0	6801.0	6899.0	[[24.832163000000023, 36.06122], [24.83076300000002, 36.06122]]
184643158		Seranti	Dr				1701.0	1799.0	[[24.830163000000013, 36.06032], [24.830063000000024, 36.06082]]
184643159	N	Alfiou	St		6900.0	6998.0	6851.0	6999.0	[[24.83206300000002, 36.06032], [24.830163000000013, 36.06032]]
184643160		Lonn	St		1300.0	1498.0	1301.0	1499.0	[[24.82566300000002, 36.05672], [24.82566300000002, 36.05852]]
184643161	N	Agiasou	St		7300.0	7398.0	7301.0	7399.0	[[24.82566300000002, 36.05672], [24.82436300000002, 36.05662]]
184643162	N	Agiasou	St		7200.0	7298.0	7201.0	7299.0	[[24.826663000000025, 36.05662], [24.82566300000002, 36.05672]]
184643163		Lonn	St		1140.0	1298.0	1127.0	1299.0	[[24.82566300000002, 36.05482], [24.82566300000002, 36.05672]]
184643164		Kozanis			1300.0	1362.0	1301.0	1363.0	[[24.826863000000017, 36.05722], [24.826363000000015, 36.05762], [24.82696300000002, 36.05912]]
184643165		Kozanis			1154.0	1298.0	1155.0	1299.0	[[24.826663000000025, 36.05662], [24.826863000000017, 36.05722]]
184643166	N	Agiasou	St		7100.0	7198.0	7101.0	7199.0	[[24.827563000000026, 36.05702], [24.826863000000017, 36.05722]]
184643167		Kozanis			900.0	1152.0	901.0	1153.0	[[24.826663000000025, 36.05552], [24.826663000000025, 36.05662]]
184643168		Gawenoliau	Dr		1100.0	1298.0	1101.0	1299.0	[[24.82776300000002, 36.05532], [24.827563000000026, 36.05702]]
184643169	N	Lonn	St		900.0	912.0	901.0	913.0	[[24.825763000000023, 36.05302], [24.825756000000013, 36.053151]]
184643170		Sfaktirias	Ln	N	7322.0	7328.0	901.0	929.0	[[24.825763000000023, 36.05302], [24.825413000000026, 36.053166]]
184643171	N	Sialens	Pl		7301.0	7307.0	7300.0	7306.0	[[24.827738000000025, 36.051583], [24.82677700000002, 36.05198], [24.826579000000024, 36.052041], [24.826319000000012, 36.051988], [24.82635000000002, 36.051934]]
184643174		Sfaktirias	Ln	N	900.0	928.0	7301.0	7321.0	[[24.827738000000025, 36.051583], [24.827738000000025, 36.052201], [24.827677000000023, 36.052438], [24.827479000000025, 36.052644], [24.826960000000014, 36.05288], [24.826579000000024, 36.052575], [24.825763000000023, 36.05302]]
184643175									[[24.826663000000025, 36.05552], [24.826441000000017, 36.054933]]
184643176									[[24.826060000000012, 36.054833], [24.826441000000017, 36.054933]]
184643177									[[24.826441000000017, 36.054933], [24.82703600000002, 36.054933]]
184643178	N	Agiasou	St		7006.0	7098.0	7005.0	7099.0	[[24.828963000000016, 36.05742], [24.827563000000026, 36.05702]]
184643179	N	Agiasou	St		7000.0	7004.0	7001.0	7003.0	[[24.829663000000025, 36.05722], [24.828963000000016, 36.05742]]
184643180		Seranti	Dr		1100.0	1298.0	1101.0	1299.0	[[24.828863000000013, 36.05522], [24.829663000000025, 36.05722]]
184643181	N	Agiasou	St		6900.0	6998.0	6901.0	6999.0	[[24.830863000000022, 36.05682], [24.829663000000025, 36.05722]]
184643182		Seranti	Dr		1300.0	1698.0	1301.0	1699.0	[[24.829663000000025, 36.05722], [24.830163000000013, 36.05782], [24.830163000000013, 36.06032]]
184643183	N	Achilleos	St		7000.0	7098.0	7001.0	7099.0	[[24.828863000000013, 36.05522], [24.82776300000002, 36.05532]]
184643185	N	Achilleos	St		6858.0	6998.0	6901.0	6999.0	[[24.830163000000013, 36.05522], [24.828863000000013, 36.05522]]
184643186	N	Ermou	St		7000.0	7098.0			[[24.830163000000013, 36.05292], [24.828763000000023, 36.05292]]
184643187	N	Seranti	Dr		630.0	698.0	639.0	699.0	[[24.828654000000014, 36.051591], [24.828763000000023, 36.05292]]
184643188	N	Achilleos	St		6848.0	6856.0	6827.0	6899.0	[[24.831863000000013, 36.05522], [24.830163000000013, 36.05522]]
184643189	N	Lefkados	St		600.0	898.0	601.0	899.0	[[24.830163000000013, 36.05042], [24.830163000000013, 36.05292]]
184643190	N	Mavromichali	Dr		2400.0	2498.0	2401.0	2499.0	[[24.831163000000018, 36.06412], [24.831163000000018, 36.06482], [24.833063000000024, 36.06522]]
184643191	N	Antoniadou	St		6800.0	6898.0	6801.0	6899.0	[[24.832263000000026, 36.06432], [24.831163000000018, 36.06412]]
184643192	N	Antoniadou	St		6700.0	6798.0	6701.0	6799.0	[[24.833663000000016, 36.06422], [24.832263000000026, 36.06432]]
184643193	N	Mavromichali	Dr		1800.0	2398.0	1801.0	2399.0	[[24.83076300000002, 36.06122], [24.830863000000022, 36.06312], [24.831163000000018, 36.06412]]
184643194	N	Komminon	Dr		1800.0	2398.0	1801.0	2399.0	[[24.832163000000023, 36.06122], [24.832363000000015, 36.06352], [24.832263000000026, 36.06432]]
184643195	N	Obil	St		2130.0	2398.0	2301.0	2399.0	[[24.833663000000016, 36.06342], [24.833663000000016, 36.06422]]
184643196	N	Obil	St		1700.0	2128.0	1701.0	2299.0	[[24.833663000000016, 36.06032], [24.833663000000016, 36.06342]]
184643197	N	Anrop	St		6600.0	6698.0	6601.0	6699.0	[[24.834963000000016, 36.06342], [24.833663000000016, 36.06342]]
184643198		Mavromichali	Dr		1300.0	1374.0	1301.0	1399.0	[[24.830863000000022, 36.05682], [24.831963000000016, 36.05972]]
184643199		Mavromichali	Dr		1376.0	1698.0	1401.0	1699.0	[[24.831963000000016, 36.05972], [24.83206300000002, 36.06032]]
184643200	N	Alfiou	St		6700.0	6898.0	6701.0	6849.0	[[24.833663000000016, 36.06032], [24.83206300000002, 36.06032]]
184643201	N	Konitsis	St		1300.0	1398.0	1201.0	1399.0	[[24.83296300000002, 36.05662], [24.832663000000025, 36.05962], [24.831963000000016, 36.05972]]
184643202	N	Medel	St		1700.0	2298.0	1701.0	2299.0	[[24.834963000000016, 36.06052], [24.834963000000016, 36.06342]]
184643203	N	Anrop	St		6500.0	6598.0	6501.0	6599.0	[[24.836263000000017, 36.06352], [24.834963000000016, 36.06342]]
184643204	N	Kakavaki	St		1700.0	2298.0	1701.0	2299.0	[[24.83636300000002, 36.060719999999996], [24.836263000000017, 36.06352]]
184643205	N	Anrop	St		6400.0	6498.0	6401.0	6499.0	[[24.837563000000017, 36.06352], [24.836263000000017, 36.06352]]
184643206	N	Velestinou	Blvd		6600.0	6698.0	6601.0	6699.0	[[24.834963000000016, 36.06052], [24.833663000000016, 36.06032]]
184643207	N	Velestinou	Blvd		6576.0	6598.0	6575.0	6599.0	[[24.83546300000002, 36.06062], [24.834963000000016, 36.06052]]
184643208	N	Lakendra	Pky		1650.0	1698.0	1313.0	1699.0	[[24.835663000000025, 36.05982], [24.83546300000002, 36.06062]]
184643209		Filota	Rd		1300.0	1398.0	1301.0	1399.0	[[24.834563000000017, 36.05722], [24.834063000000015, 36.059219999999996], [24.835663000000025, 36.05982]]
184643210	N	Velestinou	Blvd		6500.0	6574.0	6501.0	6573.0	[[24.83636300000002, 36.060719999999996], [24.83546300000002, 36.06062]]
184643211	N	Lakendra	Pky		1600.0	1648.0			[[24.83596300000002, 36.05952], [24.835663000000025, 36.05982]]
184643213	N	Filippou	Pl		6300.0	6398.0	6301.0	6399.0	[[24.838163000000023, 36.05982], [24.837063000000015, 36.05982], [24.83596300000002, 36.05952]]
184643214		Mavromichali	Dr		1100.0	1298.0	1101.0	1299.0	[[24.830163000000013, 36.05522], [24.830863000000022, 36.05682]]
184643215	N	Agiasou	St		6822.0	6898.0	6851.0	6899.0	[[24.831763000000024, 36.05652], [24.830863000000022, 36.05682]]
184643216		Rambla	Ln		1100.0	1298.0	1101.0	1299.0	[[24.831863000000013, 36.05522], [24.831763000000024, 36.05652]]
184643217	N	Agiasou	St		6800.0	6820.0	6801.0	6849.0	[[24.83296300000002, 36.05662], [24.831763000000024, 36.05652]]
184643218	N	Konitsis	St		1100.0	1298.0	1101.0	1199.0	[[24.83296300000002, 36.05522], [24.83296300000002, 36.05662]]
184643220	N	Achilleos	St		6810.0	6846.0	6809.0	6825.0	[[24.83296300000002, 36.05522], [24.831863000000013, 36.05522]]
184643221	N	Ermou	St		6900.0	6998.0			[[24.83166300000002, 36.05302], [24.830163000000013, 36.05292]]
184643222	N	Ermou	St						[[24.83296300000002, 36.05302], [24.83166300000002, 36.05302]]
184643223	N	Ptotagora	St		600.0	898.0	601.0	899.0	[[24.831463000000014, 36.05042], [24.83166300000002, 36.05302]]
184643224	N	Achilleos	St				6701.0	6749.0	[[24.83376300000002, 36.054719999999996], [24.833541000000025, 36.054859]]
184643225	N	Ermou	St		6700.0	6798.0	6701.0	6799.0	[[24.83376300000002, 36.05302], [24.83296300000002, 36.05302]]
184643226	N	Konitsis	St		600.0	698.0	601.0	699.0	[[24.83296400000002, 36.05042], [24.83296300000002, 36.05302]]
184643228	N	Obil	St		600.0	898.0	601.0	899.0	[[24.833964000000023, 36.05032], [24.83376300000002, 36.05302]]
184643230	N	Ermou	St		5900.0	6698.0	5901.0	6699.0	[[24.844036000000017, 36.052201], [24.843464000000026, 36.052209], [24.84321300000002, 36.052226], [24.842761000000024, 36.052328], [24.842585000000014, 36.052447], [24.842259000000013, 36.052515], [24.83376300000002, 36.05302]]
184643232		Padarn	St		901.0	999.0	900.0	1132.0	[[24.834589000000022, 36.054009], [24.834467000000018, 36.055505], [24.834467000000018, 36.055772], [24.834666000000013, 36.055894], [24.834788000000017, 36.056001], [24.83510800000002, 36.056039], [24.835505000000026, 36.055993]]
184643233		Kakavaki	St		1000.0	1198.0	1001.0	1199.0	[[24.836086000000023, 36.054811], [24.835764000000026, 36.055383], [24.835566000000014, 36.055512], [24.835505000000026, 36.055589], [24.83542900000002, 36.055779], [24.835505000000026, 36.055993]]
184643234		Gkonas	Ln		6500.0	6598.0	6501.0	6599.0	[[24.837163000000018, 36.05752], [24.835863000000018, 36.057719999999996], [24.835263000000026, 36.05842]]
184643236	N	Lakendra	Pky		1300.0	1306.0	1301.0	1307.0	[[24.837163000000018, 36.05752], [24.836863000000022, 36.057923]]
184643238		Padarn	St		1001.0	1099.0			[[24.835505000000026, 36.055993], [24.835886000000016, 36.056039], [24.836207000000016, 36.056092]]
184643239		Wenna	St		1000.0	1148.0	1001.0	1199.0	[[24.836086000000023, 36.054811], [24.836727000000025, 36.055146], [24.836727000000025, 36.055291], [24.83660500000002, 36.055459], [24.836406000000025, 36.055589], [24.836207000000016, 36.056092]]
184643241		Kakavaki	St		900.0	998.0	901.0	999.0	[[24.837566000000024, 36.054406], [24.837047000000013, 36.054215], [24.836788000000013, 36.054223], [24.836345000000023, 36.054223], [24.836086000000023, 36.054811]]
184643279		Egeou	Ave		7300.0	7498.0	7301.0	7499.0	[[24.825963000000016, 36.05042]]
